symbol,date,pe
SBIN,2024-03-04,12.675970213328782
SBIN,2024-03-05,12.871351804411704
SBIN,2024-03-06,12.870531075463164
SBIN,2024-03-07,12.938667611968786
SBIN,2024-03-11,12.703061283407951
SBIN,2024-03-12,12.473201059597947
SBIN,2024-03-13,12.268789445858983
SBIN,2024-03-14,12.166994003463772
SBIN,2024-03-15,12.016764529883147
SBIN,2024-03-18,12.001166671416687
SBIN,2024-03-19,11.883773370555016
SBIN,2024-03-20,12.08818498429398
SBIN,2024-03-21,12.220354412562523
SBIN,2024-03-22,12.259759423202942
SBIN,2024-03-26,12.15057541604877
SBIN,2024-03-27,12.03974995099752
SBIN,2024-03-28,12.352523840831065
SBIN,2024-04-01,12.450214636372527
SBIN,2024-04-02,12.583205795700659
SBIN,2024-04-03,12.659551625913782
SBIN,2024-04-04,12.466633223787527
SBIN,2024-04-05,12.55611472562149
SBIN,2024-04-08,12.61440051052253
SBIN,2024-04-09,12.547084702965448
SBIN,2024-04-10,12.790900325233784
SBIN,2024-04-12,12.581563335692529
SBIN,2024-04-15,12.437079966862736
SBIN,2024-04-16,12.341852360277944
SBIN,2024-04-18,12.228563706270023
SBIN,2024-04-19,12.321329126009195
SBIN,2024-04-22,12.57827941778732
SBIN,2024-04-23,12.691568071795242
SBIN,2024-04-24,12.693209529692322
SBIN,2024-04-25,13.343386192592963
SBIN,2024-04-26,13.15621389521754
SBIN,2024-04-29,13.569962498497757
SBIN,2024-04-30,13.565857851644008
SBIN,2024-05-02,13.628248283398799
SBIN,2024-05-03,13.65123470662422
SBIN,2024-05-06,13.262934713415042
SBIN,2024-05-07,13.16606564893317
SBIN,2024-05-08,13.312190475660044
SBIN,2024-05-09,13.459957762395046
SBIN,2024-05-10,13.419732022806086
SBIN,2024-05-13,13.279353300830042
SBIN,2024-05-14,13.433688423375465
SBIN,2024-05-15,11.172134128536145
SBIN,2024-05-16,11.058411041123836
SBIN,2024-05-17,11.138766012723845
SBIN,2024-05-21,11.31309718971725
SBIN,2024-05-22,11.151023959356172
SBIN,2024-05-23,11.332844903008823
SBIN,2024-05-24,11.285176403640584
SBIN,2024-05-27,11.35463671576933
SBIN,2024-05-28,11.319906975341286
SBIN,2024-05-29,11.204140619732703
SBIN,2024-05-30,11.247722582708395
SBIN,2024-05-31,11.309010653324703
SBIN,2024-06-03,12.334565033322397
SBIN,2024-06-04,10.557891797757316
SBIN,2024-06-05,10.756056393162181
SBIN,2024-06-06,11.126508897364179
SBIN,2024-06-07,11.30356332358907
SBIN,2024-06-10,11.328759197888935
SBIN,2024-06-11,11.379832590069192
SBIN,2024-06-12,11.428181901745305
SBIN,2024-06-13,11.49355650875416
SBIN,2024-06-14,11.429544357633706
SBIN,2024-06-18,11.507176080002228
SBIN,2024-06-19,11.61204611359423
SBIN,2024-06-20,11.491513240557886
SBIN,2024-06-21,11.390047268505244
SBIN,2024-06-24,11.34101714452126
SBIN,2024-06-25,11.471083883685784
SBIN,2024-06-26,11.513304222045733
SBIN,2024-06-27,11.494918133369904
SBIN,2024-06-28,11.562335177302375
SBIN,2024-07-01,11.466998178565895
SBIN,2024-07-02,11.251809119100942
SBIN,2024-07-03,11.439759036069757
SBIN,2024-07-04,11.430905982249449
SBIN,2024-07-05,11.709426380526985
SBIN,2024-07-08,11.661757881158744
SBIN,2024-07-09,11.730536549706958
SBIN,2024-07-10,11.563015989610246
SBIN,2024-07-11,11.667886854474906
SBIN,2024-07-12,11.708745568219113
SBIN,2024-07-15,12.003608786976203
SBIN,2024-07-16,11.994756564428553
SBIN,2024-07-18,12.169767722457172
SBIN,2024-07-19,12.11256535696075
SBIN,2024-07-22,11.941639904052021
SBIN,2024-07-23,11.765947933715532
SBIN,2024-07-24,11.603874703354453
SBIN,2024-07-25,11.556206203986212
SBIN,2024-07-26,11.7461993891513
SBIN,2024-07-29,11.870817967307534
SBIN,2024-07-30,11.887161619059748
SBIN,2024-07-31,11.881714289324115
SBIN,2024-08-01,11.748923469655447
SBIN,2024-08-02,11.547353150165904
SBIN,2024-08-05,11.054325336003949
SBIN,2024-08-06,10.864332150838859
SBIN,2024-08-07,11.013466622259742
SBIN,2024-08-08,11.005294380747305
SBIN,2024-08-09,11.22661241352842
SBIN,2024-08-12,11.067263263671485
SBIN,2024-08-13,10.862288882642584
SBIN,2024-08-14,10.93651571219909
SBIN,2024-08-16,11.060453478047451
SBIN,2024-08-19,11.082245290807956
SBIN,2024-08-20,11.172134128536145
SBIN,2024-08-21,11.10744116510782
SBIN,2024-08-22,11.172134128536145
SBIN,2024-08-23,11.104717084603674
SBIN,2024-08-26,11.100631379483785
SBIN,2024-08-27,11.11220851380824
SBIN,2024-08-28,11.023681300695793
SBIN,2024-08-29,11.09314078155188
SBIN,2024-08-30,11.108121977415692
SBIN,2024-09-02,11.197330834108667
SBIN,2024-09-03,11.233422199152454
SBIN,2024-09-04,11.120379924048017
SBIN,2024-09-05,11.151023959356172
SBIN,2024-09-06,10.657314501613683
SBIN,2024-09-09,10.681148751297805
SBIN,2024-09-10,10.659357769809958
SBIN,2024-09-11,10.468002128756467
SBIN,2024-09-12,10.728817250666044
SBIN,2024-09-13,10.771037589025994
SBIN,2024-09-16,10.698854027665762
SBIN,2024-09-17,10.662762662621976
SBIN,2024-09-18,10.796915106906388
SBIN,2024-09-19,10.758780473666327
SBIN,2024-09-20,10.646419010869762
SBIN,2024-09-23,10.920852872754748
SBIN,2024-09-24,10.871822748770764
SBIN,2024-09-25,10.801681624334147
SBIN,2024-09-26,10.920852872754748
SBIN,2024-09-27,10.93174919477133
SBIN,2024-09-30,10.730860518862318
SBIN,2024-10-01,10.854117472402807
SBIN,2024-10-03,10.815301195582217
SBIN,2024-10-04,10.85003176728292
SBIN,2024-10-07,10.495922914833136
SBIN,2024-10-08,10.643014118057744
SBIN,2024-10-09,10.86024644571897
SBIN,2024-10-10,10.856159909326422
SBIN,2024-10-11,10.892252105642868
SBIN,2024-10-14,10.965798122891503
SBIN,2024-10-15,10.958988337267467
SBIN,2024-10-16,10.96988382801139
SBIN,2024-10-17,11.046153094491512
SBIN,2024-10-18,11.173496584424548
SBIN,2024-10-21,11.085650183619974
SBIN,2024-10-22,10.76490944698249
SBIN,2024-10-23,10.704983000981924
SBIN,2024-10-24,10.82143016889838
SBIN,2024-10-25,10.63620433243371
SBIN,2024-10-28,10.787381240778208
SBIN,2024-10-29,11.34101714452126
SBIN,2024-10-30,11.201416539228557
SBIN,2024-10-31,11.170772503920402
SBIN,2024-11-01,11.184392075168471
SBIN,2024-11-04,11.30220086770067
SBIN,2024-11-05,11.565740070114392
SBIN,2024-11-06,11.642009336594512
SBIN,2024-11-07,11.70738311233071
SBIN,2024-11-08,11.483341830318109
SBIN,2024-11-11,11.544629900934417
SBIN,2024-11-12,11.259299717032848
SBIN,2024-11-13,11.013466622259742
SBIN,2024-11-14,10.953540176259176
SBIN,2024-11-18,11.090416701047735
SBIN,2024-11-19,10.93651571219909
SBIN,2024-11-21,10.633480251929564
SBIN,2024-11-22,11.114250950731854
SBIN,2024-11-25,11.501047106686066
SBIN,2024-11-26,11.432268438137852
SBIN,2024-11-27,11.36008404550496
SBIN,2024-11-28,11.424777008933287
SBIN,2024-11-29,11.42613946482169
SBIN,2024-12-02,11.391409724393645
SBIN,2024-12-03,11.630433033542719
SBIN,2024-12-04,11.708745568219113
SBIN,2024-12-05,11.787058102895507
SBIN,2024-12-06,11.762543040903516
SBIN,2024-12-09,11.686272943150735
SBIN,2024-12-10,11.814978057699516
SBIN,2024-12-11,11.734622254826848
SBIN,2024-12-12,11.627028140730701
SBIN,2024-12-13,11.733941442518976
SBIN,2024-12-16,11.725770032279199
SBIN,2024-12-17,11.584126158790221
SBIN,2024-12-18,11.415243974077766
SBIN,2024-12-19,11.342378769137003
SBIN,2024-12-20,11.059091853431708
SBIN,2024-12-23,11.1837112628606
SBIN,2024-12-24,11.05977266573958
SBIN,2024-12-26,11.06522082674787
SBIN,2024-12-27,10.890890481027125
SBIN,2024-12-30,10.736307848597951
SBIN,2024-12-31,10.82687832990667
SBIN,2025-01-01,10.80304408022255
SBIN,2025-01-02,10.9120006502071
SBIN,2025-01-03,10.805768160726696
SBIN,2025-01-06,10.57423544950953
SBIN,2025-01-07,10.606241109433427
SBIN,2025-01-08,10.50273270045717
SBIN,2025-01-09,10.357003121848303
SBIN,2025-01-10,10.122746330126992
SBIN,2025-01-13,9.935477225466048
SBIN,2025-01-14,10.189482561751591
SBIN,2025-01-15,10.26507101592384
SBIN,2025-01-16,10.43667728114044
SBIN,2025-01-17,10.406714058140158
SBIN,2025-01-20,10.61305089505746
SBIN,2025-01-21,10.337935389591944
SBIN,2025-01-22,10.261666123111823
SBIN,2025-01-23,10.158838526443438
SBIN,2025-01-24,10.135004276759316
SBIN,2025-01-27,10.203782945307532
SBIN,2025-01-28,10.247365739555883
SBIN,2025-01-29,10.329763979352165
SBIN,2025-01-30,10.386284701268055
SBIN,2025-01-31,10.526566950141289
SBIN,2025-02-01,10.432591576020553
SBIN,2025-02-03,10.363812907472338
SBIN,2025-02-04,10.61237008274959
SBIN,2025-02-05,10.433272388328424
SBIN,2025-02-06,10.245322471359609
SBIN,2025-02-07,10.040348090330708
SBIN,2025-02-10,10.034899929322417
SBIN,2025-02-11,9.957268206953895
SBIN,2025-02-12,9.985188993030562
SBIN,2025-02-13,9.910281351166185
SBIN,2025-02-14,9.835373709301807
SBIN,2025-02-17,9.910962163474057
SBIN,2025-02-18,9.885084645593663
SBIN,2025-02-19,9.905514002465765
SBIN,2025-02-20,9.938201305970194
SBIN,2025-02-21,9.833330441105534
SBIN,2025-02-24,9.757061174625413
SBIN,2025-02-25,9.682153532761037
SBIN,2025-02-27,9.586816534024555
SBIN,2025-02-28,9.381160509415125
SBIN,2025-03-03,9.46968772252757
SBIN,2025-03-04,9.752293825924994
SBIN,2025-03-05,9.947053528517843
SBIN,2025-03-06,9.970206965894091
SBIN,2025-03-07,9.979740832022271
SBIN,2025-03-10,9.927305815226271
SBIN,2025-03-11,9.94024374289381
SBIN,2025-03-12,9.847630824661474
SBIN,2025-03-13,9.913004600397672
SBIN,2025-03-17,9.848993280549877
SBIN,2025-03-18,9.848993280549877
SBIN,2025-03-19,10.147942204426855
SBIN,2025-03-20,10.208549462735292
SBIN,2025-03-21,10.258261230299805
SBIN,2025-03-24,10.634161064237436
SBIN,2025-03-25,10.525885306560758
SBIN,2025-03-26,10.405352433524415
SBIN,2025-03-27,10.518394708628852
SBIN,2025-03-28,10.507499217884929
SBIN,2025-04-01,10.510223298389075
SBIN,2025-04-02,10.568106476193368
SBIN,2025-04-03,10.61237008274959
SBIN,2025-04-04,10.452340120584784
SBIN,2025-04-07,10.172458097691505
SBIN,2025-04-08,10.468002128756467
SBIN,2025-04-09,10.10844594657105
SBIN,2025-04-11,10.267113452847456
SBIN,2025-04-15,10.398542647900381
SBIN,2025-04-16,10.510904110696947
SBIN,2025-04-17,10.860927258026841
SBIN,2025-04-21,11.123104004552163
SBIN,2025-04-22,11.200735726920685
SBIN,2025-04-23,11.07884039799594
SBIN,2025-04-24,11.078159585688068
SBIN,2025-04-25,10.877270909779057
SBIN,2025-04-28,11.131956227099812
SBIN,2025-04-29,11.066582451363614
SBIN,2025-04-30,10.74107519729837
SBIN,2025-05-02,10.850712579590791
SBIN,2025-05-05,10.759461285974199
SBIN,2025-05-06,10.542909770620843
SBIN,2025-05-07,10.57014891311698
SBIN,2025-05-08,10.473450289764758
SBIN,2025-05-09,10.61305089505746
SBIN,2025-05-12,10.918129623523262
SBIN,2025-05-13,10.919491248139005
SBIN,2025-05-14,10.905190864583064
SBIN,2025-05-15,9.515210004043219
SBIN,2025-05-16,9.330854363228353
SBIN,2025-05-19,9.365016345669277
SBIN,2025-05-20,9.254874617123475
SBIN,2025-05-21,9.271954889356218
SBIN,2025-05-22,9.250162371618616
SBIN,2025-05-23,9.312006819184358
SBIN,2025-05-26,9.357948696399708
SBIN,2025-05-27,9.349702626260067
SBIN,2025-05-28,9.383275038772096
SBIN,2025-05-29,9.392698810794093
SBIN,2025-05-30,9.568808381469317
SBIN,2025-06-02,9.584711670807424
SBIN,2025-06-03,9.53935864453325
SBIN,2025-06-04,9.500485135575186
SBIN,2025-06-05,9.494595188187972
